"","Rank","Title","authorName","avg_rating","rater","score","voter","price","First_published","pages","reviews","followers","top_genre","second_genre","third_genre","fourth_genre","fifth_genre","Five_stars","Four_stars","Three_stars","Two_stars","One_stars","cover_type","author_avg_rating"
"1",1,"The Hunger Games","Suzanne Collins",4.34,8973092,3913869,39812,NA,"September 14, 2008",374,225550,105000,"Young Adult","Fiction","Fantasy","Science Fiction","Audiobook",54,30,11,2,1," Hardcover","4.27"
"2",2,"Harry Potter and the Order of the Phoenix","J.K. Rowling",4.5,3492894,3150704,32185,NA,"June 21, 2003",912,67283,228000,"Fantasy","Young Adult","Fiction","Magic","Childrens",64,25,8,1,1," Paperback","4.46"
"3",3,"Pride and Prejudice","Jane Austen",4.29,4382792,2769695,28400,"0.99","January 28, 1813",279,122389,68900,"Fiction","Historical Fiction","Historical","Literature","Audiobook",54,27,11,3,2," Paperback","4.15"
"4",4,"To Kill a Mockingbird","Harper Lee",4.26,6337400,2468827,25211,NA,"July 11, 1960",323,121359,13800,"Fiction","Historical Fiction","School","Literature","Young Adult",51,29,13,3,1," Paperback","4.22"
"5",5,"The Book Thief","Markus Zusak",4.39,2649893,1848489,19000,"10.99","September 1, 2005",592,149247,39800,"Historical Fiction","Fiction","Young Adult","Classics","Historical",58,28,9,2,1," Kindle Edition","4.35"
"6",6,"Twilight","Stephenie Meyer",3.66,6776045,1696998,17296,NA,"October 5, 2005",498,134581,76700,"Fantasy","Young Adult","Romance","Fiction","Vampires",35,23,20,0,9," Paperback","3.7"
"7",7,"Animal Farm","George Orwell",3.99,4041378,1585516,16424,"5.99","August 17, 1945",141,103579,45600,"Fiction","Dystopia","Fantasy","School","Literature",37,35,18,5,2," Mass Market Paperback","4.1"
"8",8,"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien",4.61,136531,1531752,15880,"24.00","January 1, 1954",1728,2329,72800,"Fantasy","Fiction","Classics","Adventure","Science Fiction Fantasy",71,20,5,1,1," Mass Market Paperback","4.36"
"9",9,"The Chronicles of Narnia","C.S. Lewis",4.28,668133,1461735,15235,"39.99","January 1, 1956",767,12853,43900,"Fantasy","Classics","Fiction","Young Adult","Childrens",50,31,13,2,1," Paperback","4.17"
"10",10,"The Fault in Our Stars","John Green",4.13,5305742,1350716,13982,"9.99","January 10, 2012",313,181706,308000,"Young Adult","Fiction","Contemporary","Realistic Fiction","Teen",46,30,16,4,2," Hardcover","3.98"
"11",11,"The Picture of Dorian Gray","Oscar Wilde",4.13,1617067,1256958,13129,"5.63","June 1, 1890",272,76909,36200,"Classics","Fiction","Horror","Fantasy","Gothic",41,36,17,3,1," Paperback","4.12"
"12",12,"The Giving Tree","Shel Silverstein",4.38,1157846,1188697,12308,"0.00","January 1, 1964",64,22759,10100,"Childrens","Classics","Fiction","Picture Books","Poetry",62,21,10,3,2," Hardcover","4.35"
"13",13,"Wuthering Heights","Emily Brontë",3.89,1866848,1180784,12324,"3.99","December 1, 1847",464,66037,12000,"Classics","Fiction","Gothic","Historical Fiction","Literature",36,30,20,7,3," Paperback","3.9"
"14",14,"Gone with the Wind","Margaret Mitchell",4.31,1233865,1172458,12088,"6.99","June 30, 1936",1037,25544,2956,"Historical Fiction","Fiction","Romance","Classics","Historical",56,25,12,3,2," Mass Market Paperback","4.31"
"15",15,"The Perks of Being a Wallflower","Stephen Chbosky",4.23,1854280,1106757,11528,"11.99","February 1, 1999",213,96277,13200,"Young Adult","Fiction","Classics","Coming Of Age","Romance",49,31,14,3,1," Paperback","4.21"
"16",16,"The Lightning Thief","Rick Riordan",4.31,3144729,1105747,11581,NA,"July 28, 2005",377,108114,434000,"Fantasy","Young Adult","Mythology","Fiction","Middle Grade",52,30,13,2,1," Paperback","4.34"
"17",17,"Jane Eyre","Charlotte Brontë",4.15,2147583,1074436,11294,NA,"October 16, 1847",532,68625,17400,"Classics","Fiction","Historical Fiction","Gothic","Literature",46,31,15,4,2," Paperback","4.03"
"18",18,"The Little Prince","Antoine de Saint-Exupéry",4.33,2190333,1055150,11137,"3.25","January 1, 1943",96,72127,8164,"Fiction","Fantasy","Childrens","France","Philosophy",56,25,12,3,1," Paperback","4.32"
"19",19,"The Great Gatsby","F. Scott Fitzgerald",3.93,5408258,1039786,11077,"4.99","April 10, 1925",180,111626,24300,"Fiction","School","Historical Fiction","Romance","Literature",35,33,21,6,2," Paperback","3.91"
"20",20,"The Da Vinci Code","Dan       Brown",3.92,2398355,992968,10433,NA,"January 1, 2003",489,56047,104000,"Fiction","Mystery","Thriller","Mystery Thriller","Historical Fiction",35,34,19,6,3," Paperback","3.89"
"21",21,"Crime and Punishment","Fyodor Dostoevsky",4.27,943885,977431,10177,"0.99","January 1, 1866",671,40144,59300,"Classics","Fiction","Russia","Russian Literature","Literature",52,29,12,3,1," Paperback","4.19"
"22",22,"Alice’s Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll",4.06,576834,967990,10204,"0.99","December 27, 1871",239,16196,7992,"Fantasy","Fiction","Classics","Childrens","Young Adult",39,34,19,4,1," Paperback","4.05"
